Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Organism	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Gene ontology IDs
M1VCC6	M1VCC6_CYAM1	CYME_CMJ039C				CYME_CMJ039C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]		ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	chloroplast [GO:0009507]; integral component of membrane [GO:0016021]	GO:0005524; GO:0009507; GO:0016021; GO:0042626
M1VIK3	M1VIK3_CYAM1	CYME_CMM070C				CYME_CMM070C	Cyanidioschyzon merolae (strain 10D) (Red alga)	enzyme activator activity [GO:0008047]; deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; positive regulation of catalytic activity [GO:0043085]	deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; positive regulation of catalytic activity [GO:0043085]	enzyme activator activity [GO:0008047]		GO:0000290; GO:0008047; GO:0043085
M1VGR6	M1VGR6_CYAM1	CYME_CMH277C				CYME_CMH277C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1V8W1	M1V8W1_CYAM1	CYME_CMM145C				CYME_CMM145C	Cyanidioschyzon merolae (strain 10D) (Red alga)	asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]; asparagine biosynthetic process [GO:0006529]; glutamine metabolic process [GO:0006541]	asparagine biosynthetic process [GO:0006529]; glutamine metabolic process [GO:0006541]	asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]		GO:0004066; GO:0005524; GO:0006529; GO:0006541
M1VEX8	M1VEX8_CYAM1	CYME_CMC156C				CYME_CMC156C	Cyanidioschyzon merolae (strain 10D) (Red alga)	extracellular region [GO:0005576]			extracellular region [GO:0005576]	GO:0005576
M1V5V2	M1V5V2_CYAM1	CYME_CMN219C				CYME_CMN219C	Cyanidioschyzon merolae (strain 10D) (Red alga)	DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]	regulation of transcription, DNA-templated [GO:0006355]	DNA binding [GO:0003677]		GO:0003677; GO:0006355
M1V5U6	M1V5U6_CYAM1	CYME_CMN180C				CYME_CMN180C	Cyanidioschyzon merolae (strain 10D) (Red alga)	methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]; methylation [GO:0032259]	methylation [GO:0032259]	methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]		GO:0003676; GO:0008168; GO:0032259
M1UU56	M1UU56_CYAM1	CYME_CMN269C				CYME_CMN269C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of peroxisomal membrane [GO:0005779]; peroxisome fission [GO:0016559]	peroxisome fission [GO:0016559]		integral component of peroxisomal membrane [GO:0005779]	GO:0005779; GO:0016559
M1UUA9	M1UUA9_CYAM1	CYME_CMO032C				CYME_CMO032C	Cyanidioschyzon merolae (strain 10D) (Red alga)	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; small GTPase binding [GO:0031267]; vesicle-mediated transport [GO:0016192]	vesicle-mediated transport [GO:0016192]	small GTPase binding [GO:0031267]	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]	GO:0005794; GO:0016021; GO:0016192; GO:0031267
M1UWB5	M1UWB5_CYAM1	CYME_CMR245C				CYME_CMR245C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		GO:0004672; GO:0005524
M1V5B7	M1V5B7_CYAM1	CYME_CMJ296C				CYME_CMJ296C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1V6Z3	M1V6Z3_CYAM1	CYME_CMR502C				CYME_CMR502C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VBT1	M1VBT1_CYAM1	CYME_CMH187C				CYME_CMH187C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		GO:0004672; GO:0005524
M1VG99	M1VG99_CYAM1	CYME_CMQ251C				CYME_CMQ251C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1VH90	M1VH90_CYAM1	CYME_CMS022C				CYME_CMS022C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VGN0	M1VGN0_CYAM1	CYME_CMR047C				CYME_CMR047C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VGV5	M1VGV5_CYAM1	CYME_CMI095C				CYME_CMI095C	Cyanidioschyzon merolae (strain 10D) (Red alga)	mitochondrial respiratory chain complex I [GO:0005747]; 4 iron, 4 sulfur cluster binding [GO:0051539]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; zinc ion binding [GO:0008270]		4 iron, 4 sulfur cluster binding [GO:0051539]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; zinc ion binding [GO:0008270]	mitochondrial respiratory chain complex I [GO:0005747]	GO:0005747; GO:0008137; GO:0008270; GO:0048038; GO:0051539
M1V5G3	M1V5G3_CYAM1	CYME_CMK279C				CYME_CMK279C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1VBC4	M1VBC4_CYAM1	CYME_CMG062C				CYME_CMG062C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412
M1VM37	M1VM37_CYAM1	CYME_CMS366C				CYME_CMS366C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V528	M1V528_CYAM1	CYME_CMI040C				CYME_CMI040C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATP:ADP antiporter activity [GO:0005471]		ATP:ADP antiporter activity [GO:0005471]; ATP binding [GO:0005524]	integral component of membrane [GO:0016021]	GO:0005471; GO:0005524; GO:0016021
M1V6S3	M1V6S3_CYAM1	CYME_CMD100C				CYME_CMD100C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VEU9	M1VEU9_CYAM1	CYME_CMC122C				CYME_CMC122C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1UNQ2	M1UNQ2_CYAM1	CYME_CMC106C				CYME_CMC106C	Cyanidioschyzon merolae (strain 10D) (Red alga)	eukaryotic translation initiation factor 3 complex [GO:0005852]; ribosome binding [GO:0043022]; translation initiation factor activity [GO:0003743]; regulation of translational initiation [GO:0006446]	regulation of translational initiation [GO:0006446]	ribosome binding [GO:0043022]; translation initiation factor activity [GO:0003743]	eukaryotic translation initiation factor 3 complex [GO:0005852]	GO:0003743; GO:0005852; GO:0006446; GO:0043022
M1V5T7	M1V5T7_CYAM1	CYME_CMN128C				CYME_CMN128C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1VG10	M1VG10_CYAM1	CYME_CMQ064C				CYME_CMQ064C	Cyanidioschyzon merolae (strain 10D) (Red alga)	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity [GO:0003992]; pyridoxal phosphate binding [GO:0030170]; arginine biosynthetic process [GO:0006526]	arginine biosynthetic process [GO:0006526]	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity [GO:0003992]; pyridoxal phosphate binding [GO:0030170]		GO:0003992; GO:0006526; GO:0030170
M1UWS4	M1UWS4_CYAM1	CYME_CMS114C				CYME_CMS114C	Cyanidioschyzon merolae (strain 10D) (Red alga)	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]		GO:0003677; GO:0003899; GO:0006351; GO:0032549
M1UX85	M1UX85_CYAM1	CYME_CMS490C				CYME_CMS490C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]	transmembrane transport [GO:0055085]		integral component of membrane [GO:0016021]	GO:0016021; GO:0055085
M1V5L0	M1V5L0_CYAM1	CYME_CML272C				CYME_CML272C	Cyanidioschyzon merolae (strain 10D) (Red alga)	rRNA primary transcript binding [GO:0042134]; rRNA processing [GO:0006364]	rRNA processing [GO:0006364]	rRNA primary transcript binding [GO:0042134]		GO:0006364; GO:0042134
M1V973	M1V973_CYAM1	CYME_CMN151C				CYME_CMN151C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]		ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]		GO:0003723; GO:0004540
M1V5Y0	M1V5Y0_CYAM1	CYME_CMO077C				CYME_CMO077C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VGZ3	M1VGZ3_CYAM1	CYME_CMI167C				CYME_CMI167C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VF48	M1VF48_CYAM1	CYME_CMO234C				CYME_CMO234C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1V4I6	M1V4I6_CYAM1	CYME_CMF007C				CYME_CMF007C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]		protein-cysteine S-palmitoyltransferase activity [GO:0019706]	integral component of membrane [GO:0016021]	GO:0016021; GO:0019706
M1V7N3	M1V7N3_CYAM1	CYME_CMI016C				CYME_CMI016C	Cyanidioschyzon merolae (strain 10D) (Red alga)	extrinsic component of mitochondrial inner membrane [GO:0031314]; 2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity [GO:0008425]; 3-demethylubiquinone-9 3-O-methyltransferase activity [GO:0008689]; hexaprenyldihydroxybenzoate methyltransferase activity [GO:0004395]; methylation [GO:0032259]; ubiquinone biosynthetic process [GO:0006744]	methylation [GO:0032259]; ubiquinone biosynthetic process [GO:0006744]	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity [GO:0008425]; 3-demethylubiquinone-9 3-O-methyltransferase activity [GO:0008689]; hexaprenyldihydroxybenzoate methyltransferase activity [GO:0004395]	extrinsic component of mitochondrial inner membrane [GO:0031314]	GO:0004395; GO:0006744; GO:0008425; GO:0008689; GO:0031314; GO:0032259
M1VK26	M1VK26_CYAM1	CYME_CMP110C				CYME_CMP110C	Cyanidioschyzon merolae (strain 10D) (Red alga)	oxidoreductase activity [GO:0016491]		oxidoreductase activity [GO:0016491]		GO:0016491
M1V590	M1V590_CYAM1	CYME_CMJ125C				CYME_CMJ125C	Cyanidioschyzon merolae (strain 10D) (Red alga)	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	small ribosomal subunit [GO:0015935]	GO:0003735; GO:0006412; GO:0015935; GO:0019843
M1V9F6	M1V9F6_CYAM1	CYME_CMO104C				CYME_CMO104C	Cyanidioschyzon merolae (strain 10D) (Red alga)	DNA binding [GO:0003677]; oxidoreductase activity [GO:0016491]		DNA binding [GO:0003677]; oxidoreductase activity [GO:0016491]		GO:0003677; GO:0016491
M1VJU3	M1VJU3_CYAM1	CYME_CMO314C				CYME_CMO314C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VLZ6	M1VLZ6_CYAM1	CYME_CMS246C				CYME_CMS246C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1UPW4	M1UPW4_CYAM1	CYME_CMF152C				CYME_CMF152C	Cyanidioschyzon merolae (strain 10D) (Red alga)	cytoplasm [GO:0005737]; 3-hydroxyanthranilate 3,4-dioxygenase activity [GO:0000334]; ferrous iron binding [GO:0008198]; 'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; quinolinate biosynthetic process [GO:0019805]; tryptophan catabolic process [GO:0006569]	'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; quinolinate biosynthetic process [GO:0019805]; tryptophan catabolic process [GO:0006569]	3-hydroxyanthranilate 3,4-dioxygenase activity [GO:0000334]; ferrous iron binding [GO:0008198]	cytoplasm [GO:0005737]	GO:0000334; GO:0005737; GO:0006569; GO:0008198; GO:0019805; GO:0034354; GO:0043420
M1UWF1	M1UWF1_CYAM1	CYME_CMR328C				CYME_CMR328C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1UX57	M1UX57_CYAM1	CYME_CMS413C				CYME_CMS413C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; prenyltransferase activity [GO:0004659]		prenyltransferase activity [GO:0004659]	integral component of membrane [GO:0016021]	GO:0004659; GO:0016021
M1VB53	M1VB53_CYAM1	CYME_CMF089C				CYME_CMF089C	Cyanidioschyzon merolae (strain 10D) (Red alga)	1-deoxy-D-xylulose-5-phosphate synthase activity [GO:0008661]; 1-deoxy-D-xylulose 5-phosphate biosynthetic process [GO:0052865]; terpenoid biosynthetic process [GO:0016114]; thiamine biosynthetic process [GO:0009228]	1-deoxy-D-xylulose 5-phosphate biosynthetic process [GO:0052865]; terpenoid biosynthetic process [GO:0016114]; thiamine biosynthetic process [GO:0009228]	1-deoxy-D-xylulose-5-phosphate synthase activity [GO:0008661]		GO:0008661; GO:0009228; GO:0016114; GO:0052865
M1VFA2	M1VFA2_CYAM1	CYME_CMD137C				CYME_CMD137C	Cyanidioschyzon merolae (strain 10D) (Red alga)	mitochondrion [GO:0005739]; protein-arginine omega-N symmetric methyltransferase activity [GO:0035243]		protein-arginine omega-N symmetric methyltransferase activity [GO:0035243]	mitochondrion [GO:0005739]	GO:0005739; GO:0035243
M1UWB0	M1UWB0_CYAM1	CYME_CMR222C				CYME_CMR222C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1UQI4	M1UQI4_CYAM1	CYME_CMH091C				CYME_CMH091C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V7V5	M1V7V5_CYAM1	CYME_CMT492C				CYME_CMT492C	Cyanidioschyzon merolae (strain 10D) (Red alga)	catalytic activity [GO:0003824]; base-excision repair [GO:0006284]	base-excision repair [GO:0006284]	catalytic activity [GO:0003824]		GO:0003824; GO:0006284
M1UUP1	M1UUP1_CYAM1	CYME_CMO258C				CYME_CMO258C	Cyanidioschyzon merolae (strain 10D) (Red alga)	checkpoint clamp complex [GO:0030896]; nucleolus [GO:0005730]; DNA damage checkpoint [GO:0000077]	DNA damage checkpoint [GO:0000077]		checkpoint clamp complex [GO:0030896]; nucleolus [GO:0005730]	GO:0000077; GO:0005730; GO:0030896
M1VMB0	M1VMB0_CYAM1	CYME_CMT090C				CYME_CMT090C	Cyanidioschyzon merolae (strain 10D) (Red alga)	vesicle-mediated transport [GO:0016192]	vesicle-mediated transport [GO:0016192]			GO:0016192
M1VMQ4	M1VMQ4_CYAM1	CYME_CMT501C				CYME_CMT501C	Cyanidioschyzon merolae (strain 10D) (Red alga)	nucleus [GO:0005634]; translation elongation factor activity [GO:0003746]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]	translation elongation factor activity [GO:0003746]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]	GO:0003746; GO:0005634; GO:0006351; GO:0008270
M1V572	M1V572_CYAM1	CYME_CMJ014C				CYME_CMJ014C	Cyanidioschyzon merolae (strain 10D) (Red alga)	flavin adenine dinucleotide binding [GO:0050660]; mercury (II) reductase activity [GO:0016152]; mercury ion binding [GO:0045340]; NADP binding [GO:0050661]; oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor [GO:0016668]; cell redox homeostasis [GO:0045454]; detoxification of mercury ion [GO:0050787]	cell redox homeostasis [GO:0045454]; detoxification of mercury ion [GO:0050787]	flavin adenine dinucleotide binding [GO:0050660]; mercury (II) reductase activity [GO:0016152]; mercury ion binding [GO:0045340]; NADP binding [GO:0050661]; oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor [GO:0016668]		GO:0016152; GO:0016668; GO:0045340; GO:0045454; GO:0050660; GO:0050661; GO:0050787
M1UWP0	M1UWP0_CYAM1	CYME_CMS511C				CYME_CMS511C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VEA7	M1VEA7_CYAM1	CYME_CMN111C				CYME_CMN111C	Cyanidioschyzon merolae (strain 10D) (Red alga)	protein disulfide isomerase activity [GO:0003756]		protein disulfide isomerase activity [GO:0003756]		GO:0003756
M1VH65	M1VH65_CYAM1	CYME_CMR472C				CYME_CMR472C	Cyanidioschyzon merolae (strain 10D) (Red alga)	metal ion binding [GO:0046872]; transcription corepressor activity [GO:0003714]		metal ion binding [GO:0046872]; transcription corepressor activity [GO:0003714]		GO:0003714; GO:0046872
M1VB46	M1VB46_CYAM1	CYME_CMF078C				CYME_CMF078C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; proteasome complex [GO:0000502]; ATP binding [GO:0005524]; proteasome-activating ATPase activity [GO:0036402]; protein catabolic process [GO:0030163]	protein catabolic process [GO:0030163]	ATP binding [GO:0005524]; proteasome-activating ATPase activity [GO:0036402]	chloroplast [GO:0009507]; proteasome complex [GO:0000502]	GO:0000502; GO:0005524; GO:0009507; GO:0030163; GO:0036402
M1V7R9	M1V7R9_CYAM1	CYME_CMT357C				CYME_CMT357C	Cyanidioschyzon merolae (strain 10D) (Red alga)	nucleus [GO:0005634]			nucleus [GO:0005634]	GO:0005634
M1V6L5	M1V6L5_CYAM1	CYME_CMQ453C				CYME_CMQ453C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V6I9	M1V6I9_CYAM1	CYME_CMC029C				CYME_CMC029C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1UQV4	M1UQV4_CYAM1	CYME_CMH283C				CYME_CMH283C	Cyanidioschyzon merolae (strain 10D) (Red alga)	cell-cell signaling [GO:0007267]; intein-mediated protein splicing [GO:0016539]; multicellular organism development [GO:0007275]; protein autoprocessing [GO:0016540]	cell-cell signaling [GO:0007267]; intein-mediated protein splicing [GO:0016539]; multicellular organism development [GO:0007275]; protein autoprocessing [GO:0016540]			GO:0007267; GO:0007275; GO:0016539; GO:0016540
M1V7U2	M1V7U2_CYAM1	CYME_CMT443C				CYME_CMT443C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V4C0	M1V4C0_CYAM1	CYME_CMD187C				CYME_CMD187C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1UU66	M1UU66_CYAM1	CYME_CMN293C				CYME_CMN293C	Cyanidioschyzon merolae (strain 10D) (Red alga)	nucleic acid binding [GO:0003676]		nucleic acid binding [GO:0003676]		GO:0003676
M1VGY1	M1VGY1_CYAM1	CYME_CMI145C				CYME_CMI145C	Cyanidioschyzon merolae (strain 10D) (Red alga)	hydrolase activity [GO:0016787]		hydrolase activity [GO:0016787]		GO:0016787
M1URZ8	M1URZ8_CYAM1	CYME_CMJ319C				CYME_CMJ319C	Cyanidioschyzon merolae (strain 10D) (Red alga)	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]		dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0004169; GO:0005789; GO:0016021
M1VJ79	M1VJ79_CYAM1	CYME_CMN198C				CYME_CMN198C	Cyanidioschyzon merolae (strain 10D) (Red alga)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; galactokinase activity [GO:0004335]; galactose metabolic process [GO:0006012]	galactose metabolic process [GO:0006012]	ATP binding [GO:0005524]; galactokinase activity [GO:0004335]	cytoplasm [GO:0005737]	GO:0004335; GO:0005524; GO:0005737; GO:0006012
M1VET0	M1VET0_CYAM1	CYME_CMC095C				CYME_CMC095C	Cyanidioschyzon merolae (strain 10D) (Red alga)	aminoacyl-tRNA hydrolase activity [GO:0004045]		aminoacyl-tRNA hydrolase activity [GO:0004045]		GO:0004045
M1VCE5	M1VCE5_CYAM1	CYME_CMJ080C				CYME_CMJ080C	Cyanidioschyzon merolae (strain 10D) (Red alga)	mitochondrial matrix [GO:0005759]; nucleus [GO:0005634]; tRNA (guanine(37)-N(1))-methyltransferase activity [GO:0052906]		tRNA (guanine(37)-N(1))-methyltransferase activity [GO:0052906]	mitochondrial matrix [GO:0005759]; nucleus [GO:0005634]	GO:0005634; GO:0005759; GO:0052906
M1V715	M1V715_CYAM1	CYME_CME171C				CYME_CME171C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VEI6	M1VEI6_CYAM1	CYME_CMB105C				CYME_CMB105C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VHS9	M1VHS9_CYAM1	CYME_CMK129C				CYME_CMK129C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]		ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	chloroplast [GO:0009507]	GO:0005524; GO:0009507; GO:0042626
M1V3R1	M1V3R1_CYAM1	CYME_CMB057C				CYME_CMB057C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1V9T0	M1V9T0_CYAM1	CYME_CMP068C				CYME_CMP068C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1URH9	M1URH9_CYAM1	CYME_CMJ089C				CYME_CMJ089C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]		GO:0003677; GO:0003678; GO:0005524; GO:0016787
M1VIK4	M1VIK4_CYAM1	CYME_CMT488C				CYME_CMT488C	Cyanidioschyzon merolae (strain 10D) (Red alga)	cytosol [GO:0005829]; ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD biosynthetic process [GO:0009435]	NAD biosynthetic process [GO:0009435]	ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]	cytosol [GO:0005829]	GO:0003952; GO:0004359; GO:0005524; GO:0005829; GO:0009435
M1UXV7	M1UXV7_CYAM1	CYME_CMT419C				CYME_CMT419C	Cyanidioschyzon merolae (strain 10D) (Red alga)	translation [GO:0006412]	translation [GO:0006412]			GO:0006412
M1V5C0	M1V5C0_CYAM1	CYME_CMJ318C				CYME_CMJ318C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1V6Q9	M1V6Q9_CYAM1	CYME_CMR145C				CYME_CMR145C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VCW8	M1VCW8_CYAM1	CYME_CMT473C				CYME_CMT473C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1UU44	M1UU44_CYAM1	CYME_CMN252C				CYME_CMN252C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VGH3	M1VGH3_CYAM1	CYME_CMH095C				CYME_CMH095C	Cyanidioschyzon merolae (strain 10D) (Red alga)	inositol phosphate dephosphorylation [GO:0046855]	inositol phosphate dephosphorylation [GO:0046855]			GO:0046855
M1UXW9	M1UXW9_CYAM1	CYME_CMT451C				CYME_CMT451C	Cyanidioschyzon merolae (strain 10D) (Red alga)	RNA polymerase I complex [GO:0005736]; RNA polymerase II, core complex [GO:0005665]; RNA polymerase III complex [GO:0005666]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]		RNA polymerase I complex [GO:0005736]; RNA polymerase II, core complex [GO:0005665]; RNA polymerase III complex [GO:0005666]	GO:0005665; GO:0005666; GO:0005736; GO:0006351
M1VAV4	M1VAV4_CYAM1	CYME_CME074C				CYME_CME074C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VLV8	M1VLV8_CYAM1	CYME_CMS155C				CYME_CMS155C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873]		metal ion transmembrane transporter activity [GO:0046873]	integral component of membrane [GO:0016021]	GO:0016021; GO:0046873
M1VJY9	M1VJY9_CYAM1	CYME_CMP045C				CYME_CMP045C	Cyanidioschyzon merolae (strain 10D) (Red alga)	DNA binding [GO:0003677]; DNA replication [GO:0006260]	DNA replication [GO:0006260]	DNA binding [GO:0003677]		GO:0003677; GO:0006260
M1VA68	M1VA68_CYAM1	CYME_CMC020C				CYME_CMC020C	Cyanidioschyzon merolae (strain 10D) (Red alga)	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]		hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]		GO:0016787; GO:0046872
M1UU83	M1UU83_CYAM1	CYME_CMN322C				CYME_CMN322C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VH02	M1VH02_CYAM1	CYME_CMI189C				CYME_CMI189C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VAE5	M1VAE5_CYAM1	CYME_CMQ161C				CYME_CMQ161C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1V784	M1V784_CYAM1	CYME_CMG059C				CYME_CMG059C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1URE1	M1URE1_CYAM1	CYME_CMJ043C				CYME_CMJ043C	Cyanidioschyzon merolae (strain 10D) (Red alga)	lyase activity [GO:0016829]		lyase activity [GO:0016829]		GO:0016829
M1V5A4	M1V5A4_CYAM1	CYME_CMJ208C				CYME_CMJ208C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1V862	M1V862_CYAM1	CYME_CMJ219C				CYME_CMJ219C	Cyanidioschyzon merolae (strain 10D) (Red alga)	membrane [GO:0016020]; protein transport [GO:0015031]	protein transport [GO:0015031]		membrane [GO:0016020]	GO:0015031; GO:0016020
M1V523	M1V523_CYAM1	CYME_CMH282C				CYME_CMH282C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
