	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Function [CC]	Proteomes	Organism	Status	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Gene ontology IDs	Fragment	Gene encoded by	RNA editing	DNA binding	ChEBI (Cofactor)	Keywords	Interacts with	Post-translational modification	Features	Cross-reference (KEGG)
CMQ272C	M1VAK5	M1VAK5_CYAM1	CYME_CMQ272C				CYME_CMQ272C	Uncharacterized protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	cytosol [GO:0005829]; Golgi to endosome transport [GO:0006895]; protein transport [GO:0015031]	Golgi to endosome transport [GO:0006895]; protein transport [GO:0015031]		cytosol [GO:0005829]	GO:0005829; GO:0006895; GO:0015031						Coiled coil;Protein transport;Reference proteome;Transport			Coiled coil (1); Compositional bias (3); Domain (2); Region (2)	cme:CYME_CMQ272C;
CMQ274C	M1V6F8	M1V6F8_CYAM1	CYME_CMQ274C				CYME_CMQ274C	Similar to oxidoreductase		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	oxidoreductase activity [GO:0016491]		oxidoreductase activity [GO:0016491]		GO:0016491						Reference proteome			Region (1)	cme:CYME_CMQ274C;
CMQ275C	M1UVT1	M1UVT1_CYAM1	CYME_CMQ275C				CYME_CMQ275C	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase)		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	chloroplast stroma [GO:0009570]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; tyrosine-tRNA ligase activity [GO:0004831]; tyrosyl-tRNA aminoacylation [GO:0006437]	tyrosyl-tRNA aminoacylation [GO:0006437]	ATP binding [GO:0005524]; RNA binding [GO:0003723]; tyrosine-tRNA ligase activity [GO:0004831]	chloroplast stroma [GO:0009570]; mitochondrion [GO:0005739]	GO:0003723; GO:0004831; GO:0005524; GO:0005739; GO:0006437; GO:0009570						ATP-binding;Aminoacyl-tRNA synthetase;Ligase;Nucleotide-binding;Protein biosynthesis;RNA-binding;Reference proteome			Domain (1)	cme:CYME_CMQ275C;
CMQ277C	M1VGB0	M1VGB0_CYAM1	CYME_CMQ277C				CYME_CMQ277C	Uncharacterized protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (2); Region (3)	cme:CYME_CMQ277C;
CMQ278C	M1VKS3	M1VKS3_CYAM1	CYME_CMQ278C				CYME_CMQ278C	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase (EC 2.5.1.15) (EC 2.7.6.3) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (Dihydropteroate synthase)		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity [GO:0003848]; ATP binding [GO:0005524]; dihydropteroate synthase activity [GO:0004156]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]	folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity [GO:0003848]; ATP binding [GO:0005524]; dihydropteroate synthase activity [GO:0004156]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]		GO:0003848; GO:0004156; GO:0005524; GO:0016301; GO:0046654; GO:0046656; GO:0046872					Mg(2+) [CHEBI:18420]	ATP-binding;Folate biosynthesis;Kinase;Magnesium;Metal-binding;Multifunctional enzyme;Nucleotide-binding;Reference proteome;Transferase			Domain (1)	cme:CYME_CMQ278C;
CMQ279C	M1VAK8	M1VAK8_CYAM1	CYME_CMQ279C				CYME_CMQ279C	Probable cytosolic purine 5' nucleotidase		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]		hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]		GO:0016787; GO:0046872					Mg(2+) [CHEBI:18420]	Hydrolase;Magnesium;Metal-binding;Reference proteome			Active site (2); Compositional bias (1); Metal binding (3); Region (1)	cme:CYME_CMQ279C;
CMQ281C	M1V6G0	M1V6G0_CYAM1	CYME_CMQ281C				CYME_CMQ281C	Uncharacterized protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix			Chain (1); Region (1); Signal peptide (1); Transmembrane (1)	cme:CYME_CMQ281C;
CMQ282C	M1UVT5	M1UVT5_CYAM1	CYME_CMQ282C				CYME_CMQ282C	Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein)		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nuclear cap binding complex [GO:0005846]; nucleus [GO:0005634]; RNA cap binding [GO:0000339]; mRNA cis splicing, via spliceosome [GO:0045292]; primary miRNA processing [GO:0031053]; RNA splicing, via endonucleolytic cleavage and ligation [GO:0000394]	mRNA cis splicing, via spliceosome [GO:0045292]; primary miRNA processing [GO:0031053]; RNA splicing, via endonucleolytic cleavage and ligation [GO:0000394]	RNA cap binding [GO:0000339]	nuclear cap binding complex [GO:0005846]; nucleus [GO:0005634]	GO:0000339; GO:0000394; GO:0005634; GO:0005846; GO:0031053; GO:0045292						Nucleus;RNA-binding;Reference proteome;mRNA processing;mRNA splicing			Compositional bias (1); Domain (1); Region (1)	cme:CYME_CMQ282C;
CMQ283C	M1VGB3	M1VGB3_CYAM1	CYME_CMQ283C				CYME_CMQ283C	26S proteasome regulatory subunit RPN2		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	proteasome regulatory particle, base subcomplex [GO:0008540]; enzyme regulator activity [GO:0030234]; regulation of protein catabolic process [GO:0042176]	regulation of protein catabolic process [GO:0042176]	enzyme regulator activity [GO:0030234]	proteasome regulatory particle, base subcomplex [GO:0008540]	GO:0008540; GO:0030234; GO:0042176						Proteasome;Reference proteome;Repeat			Compositional bias (4); Domain (1); Region (3)	cme:CYME_CMQ283C;
CMQ284C	M1VKS5	M1VKS5_CYAM1	CYME_CMQ284C				CYME_CMQ284C	Probable calcium/proton antiporter		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]	transmembrane transport [GO:0055085]		integral component of membrane [GO:0016021]	GO:0016021; GO:0055085						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Domain (2); Region (2); Transmembrane (8)	cme:CYME_CMQ284C;
CMQ285C	M1VAL2	M1VAL2_CYAM1	CYME_CMQ285C				CYME_CMQ285C	Eukaryotic translation initiation factor 3 30 kDa subunit		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	eukaryotic translation initiation factor 3 complex [GO:0005852]; translation initiation factor activity [GO:0003743]		translation initiation factor activity [GO:0003743]	eukaryotic translation initiation factor 3 complex [GO:0005852]	GO:0003743; GO:0005852						Coiled coil;Cytoplasm;Initiation factor;Protein biosynthesis;Reference proteome			Coiled coil (1); Compositional bias (1); Region (2)	cme:CYME_CMQ285C;
CMQ286C	M1V6G2	M1V6G2_CYAM1	CYME_CMQ286C				CYME_CMQ286C	DNA primase, bacterial-type		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	DNA binding [GO:0003677]; DNA primase activity [GO:0003896]; zinc ion binding [GO:0008270]		DNA binding [GO:0003677]; DNA primase activity [GO:0003896]; zinc ion binding [GO:0008270]		GO:0003677; GO:0003896; GO:0008270						Coiled coil;DNA replication;Metal-binding;Reference proteome;Transferase;Zinc;Zinc-finger			Coiled coil (1); Compositional bias (2); Domain (2); Region (2)	cme:CYME_CMQ286C;
CMQ287C	M1UVT8	M1UVT8_CYAM1	CYME_CMQ287C				CYME_CMQ287C	Uncharacterized protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome				cme:CYME_CMQ287C;
CMQ289C	M1VGB6	M1VGB6_CYAM1	CYME_CMQ289C				CYME_CMQ289C	Glyoxylate reductase/hydroxypyruvate reductase		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]		NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]		GO:0016616; GO:0051287						Oxidoreductase;Pyruvate;Reference proteome			Domain (2)	cme:CYME_CMQ289C;
CMQ290C	M1VKS8	M1VKS8_CYAM1	CYME_CMQ290C				CYME_CMQ290C	DNA mismatch repair protein MLH1		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	mismatch repair complex [GO:0032300]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298]	mismatch repair [GO:0006298]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; mismatched DNA binding [GO:0030983]	mismatch repair complex [GO:0032300]; nucleus [GO:0005634]	GO:0005524; GO:0005634; GO:0006298; GO:0016887; GO:0030983; GO:0032300						DNA damage;Nucleus;Reference proteome			Compositional bias (1); Domain (1); Region (1)	cme:CYME_CMQ290C;
CMQ291C	M1VAL5	M1VAL5_CYAM1	CYME_CMQ291C				CYME_CMQ291C	dCMP deaminase		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]		hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]		GO:0008270; GO:0016787					Zn(2+) [CHEBI:29105]	Metal-binding;Reference proteome;Zinc			Domain (1)	cme:CYME_CMQ291C;
CMQ292C	M1V6G5	M1V6G5_CYAM1	CYME_CMQ292C				CYME_CMQ292C	Chloroplast ribosomal protein L15		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]	GO:0003735; GO:0006412; GO:0015934						Reference proteome;Ribonucleoprotein;Ribosomal protein			Domain (1); Region (1)	cme:CYME_CMQ292C;
CMQ293C	M1UVU1	M1UVU1_CYAM1	CYME_CMQ293C				CYME_CMQ293C	60S ribosomal protein L4		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412						Reference proteome;Ribonucleoprotein;Ribosomal protein			Domain (1)	cme:CYME_CMQ293C;
CMQ294C	M1VGC0	M1VGC0_CYAM1	CYME_CMQ294C				CYME_CMQ294C	Similar to ankyrin		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											ANK repeat;Coiled coil;Reference proteome			Coiled coil (1); Domain (1); Region (1); Repeat (3)	cme:CYME_CMQ294C;
CMQ295C	M1VKT1	M1VKT1_CYAM1	CYME_CMQ295C				CYME_CMQ295C	Cell division protein FtsH		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	chloroplast [GO:0009507]; membrane [GO:0016020]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; cell division [GO:0051301]	cell division [GO:0051301]	ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]	chloroplast [GO:0009507]; membrane [GO:0016020]	GO:0004176; GO:0004222; GO:0005524; GO:0009507; GO:0016020; GO:0051301					Zn(2+) [CHEBI:29105]	Cell cycle;Cell division;Hydrolase;Metalloprotease;Protease;Reference proteome			Domain (1); Region (1)	cme:CYME_CMQ295C;
CMQ297C	M1VAL8	M1VAL8_CYAM1	CYME_CMQ297C				CYME_CMQ297C	IENR2 domain-containing protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	DNA binding [GO:0003677]		DNA binding [GO:0003677]		GO:0003677						Reference proteome			Compositional bias (2); Domain (1); Region (2)	cme:CYME_CMQ297C;
CMQ300C	M1V6G7	M1V6G7_CYAM1	CYME_CMQ300C				CYME_CMQ300C	Mitochondrial peptide chain release factor RF-1		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	translation release factor activity [GO:0003747]		translation release factor activity [GO:0003747]		GO:0003747						Coiled coil;Protein biosynthesis;Reference proteome			Coiled coil (2); Compositional bias (1); Domain (1); Region (1)	cme:CYME_CMQ300C;
CMQ301C	M1UVU4	M1UVU4_CYAM1	CYME_CMQ301C				CYME_CMQ301C	Probable alcohol dehydrogenase		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]		oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]		GO:0008270; GO:0016491					Zn(2+) [CHEBI:29105]	Metal-binding;Oxidoreductase;Reference proteome;Zinc			Domain (1)	cme:CYME_CMQ301C;
CMQ306C	M1VGC3	M1VGC3_CYAM1	CYME_CMQ306C				CYME_CMQ306C	Similar to ribosomal protein L11 methyltransferase		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ribosome [GO:0005840]; protein methyltransferase activity [GO:0008276]		protein methyltransferase activity [GO:0008276]	ribosome [GO:0005840]	GO:0005840; GO:0008276						Methyltransferase;Reference proteome;Ribonucleoprotein;Ribosomal protein;Transferase				cme:CYME_CMQ306C;
CMQ308C	M1VKT4	M1VKT4_CYAM1	CYME_CMQ308C				CYME_CMQ308C	Metallophos domain-containing protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	hydrolase activity [GO:0016787]		hydrolase activity [GO:0016787]		GO:0016787						Reference proteome			Compositional bias (1); Domain (1); Region (2)	cme:CYME_CMQ308C;
CMQ309C	M1VAM2	M1VAM2_CYAM1	CYME_CMQ309C				CYME_CMQ309C	Alpha-1,3-glucosyltransferase (EC 2.4.1.-)		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity [GO:0042283]; oligosaccharide-lipid intermediate biosynthetic process [GO:0006490]; protein glycosylation [GO:0006486]	oligosaccharide-lipid intermediate biosynthetic process [GO:0006490]; protein glycosylation [GO:0006486]	dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity [GO:0042283]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005789; GO:0006486; GO:0006490; GO:0016021; GO:0042283						Endoplasmic reticulum;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix			Transmembrane (7)	cme:CYME_CMQ309C;
CMQ312C	M1V6G9	M1V6G9_CYAM1	CYME_CMQ312C				CYME_CMQ312C	Uncharacterized protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleolus [GO:0005730]; ribosome biogenesis [GO:0042254]; RNA processing [GO:0006396]	ribosome biogenesis [GO:0042254]; RNA processing [GO:0006396]		nucleolus [GO:0005730]	GO:0005730; GO:0006396; GO:0042254						Nucleus;Reference proteome;Ribosome biogenesis			Domain (2)	cme:CYME_CMQ312C;
CMQ313C	M1UVU7	M1UVU7_CYAM1	CYME_CMQ313C				CYME_CMQ313C	Uncharacterized protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Coiled coil;Reference proteome			Coiled coil (1); Compositional bias (1); Region (1)	cme:CYME_CMQ313C;
CMQ316C	M1VGC6	M1VGC6_CYAM1	CYME_CMQ316C				CYME_CMQ316C	5'-3' exoribonuclease (EC 3.1.13.-)	FUNCTION: Possesses 5'->3' exoribonuclease activity. May promote termination of transcription by RNA polymerase II. {ECO:0000256|PIRNR:PIRNR037239}.	UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleus [GO:0005634]; 5'-3' exoribonuclease activity [GO:0004534]; nucleic acid binding [GO:0003676]; mRNA processing [GO:0006397]	mRNA processing [GO:0006397]	5'-3' exoribonuclease activity [GO:0004534]; nucleic acid binding [GO:0003676]	nucleus [GO:0005634]	GO:0003676; GO:0004534; GO:0005634; GO:0006397						Exonuclease;Hydrolase;Nuclease;Reference proteome;mRNA processing			Compositional bias (4); Domain (3); Region (1)	cme:CYME_CMQ316C;
CMQ317C	M1VKT7	M1VKT7_CYAM1	CYME_CMQ317C				CYME_CMQ317C	Uncharacterized protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (1); Region (1)	cme:CYME_CMQ317C;
CMQ318C	M1VAM5	M1VAM5_CYAM1	CYME_CMQ318C				CYME_CMQ318C	Uncharacterized protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]			integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	GO:0005743; GO:0016021						Membrane;Mitochondrion;Reference proteome;Transmembrane;Transmembrane helix			Compositional bias (1); Region (1); Transmembrane (1)	cme:CYME_CMQ318C;
CMQ319C	M1V6H2	M1V6H2_CYAM1	CYME_CMQ319C				CYME_CMQ319C	Uncharacterized protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Region (2); Transmembrane (2)	cme:CYME_CMQ319C;
CMQ320C	M1UVV0	M1UVV0_CYAM1	CYME_CMQ320C				CYME_CMQ320C	Uncharacterized protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (3); Region (1)	cme:CYME_CMQ320C;
CMQ321C	M1VGC9	M1VGC9_CYAM1	CYME_CMQ321C				CYME_CMQ321C	Ribosomal_S10 domain-containing protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ribosome [GO:0005840]			ribosome [GO:0005840]	GO:0005840						Reference proteome;Ribonucleoprotein;Ribosomal protein			Domain (1); Region (1)	cme:CYME_CMQ321C;
CMQ323C	M1VKU0	M1VKU0_CYAM1	CYME_CMQ323C				CYME_CMQ323C	V-type proton ATPase proteolipid subunit	FUNCTION: Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells. {ECO:0000256|RuleBase:RU363060}.	UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; proton-transporting V-type ATPase, V0 domain [GO:0033179]; vacuolar membrane [GO:0005774]; proton transmembrane transporter activity [GO:0015078]		proton transmembrane transporter activity [GO:0015078]	integral component of membrane [GO:0016021]; proton-transporting V-type ATPase, V0 domain [GO:0033179]; vacuolar membrane [GO:0005774]	GO:0005774; GO:0015078; GO:0016021; GO:0033179						Hydrogen ion transport;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport;Vacuole			Domain (2); Transmembrane (4)	cme:CYME_CMQ323C;
CMQ324C	M1VAM8	M1VAM8_CYAM1	CYME_CMQ324C				CYME_CMQ324C	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]	mRNA catabolic process [GO:0006402]	polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]		GO:0003723; GO:0004654; GO:0006402						Coiled coil;Nucleotidyltransferase;RNA-binding;Reference proteome;Transferase			Coiled coil (1); Domain (1); Region (1)	cme:CYME_CMQ324C;
CMQ325C	M1V6H4	M1V6H4_CYAM1	CYME_CMQ325C				CYME_CMQ325C	Uncharacterized protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (1); Region (1)	cme:CYME_CMQ325C;
CMQ328C	M1UVV2	M1UVV2_CYAM1	CYME_CMQ328C				CYME_CMQ328C	TPR_REGION domain-containing protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	mRNA binding [GO:0003729]; mRNA processing [GO:0006397]	mRNA processing [GO:0006397]	mRNA binding [GO:0003729]		GO:0003729; GO:0006397						Reference proteome;TPR repeat			Compositional bias (1); Domain (1); Region (1); Repeat (4)	cme:CYME_CMQ328C;
CMQ329C	M1VGD2	M1VGD2_CYAM1	CYME_CMQ329C				CYME_CMQ329C	Uncharacterized protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Region (2)	cme:CYME_CMQ329C;
CMQ330C	M1VKU3	M1VKU3_CYAM1	CYME_CMQ330C				CYME_CMQ330C	ApaG domain-containing protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Domain (1); Region (1)	cme:CYME_CMQ330C;
CMQ331C	M1VAN2	M1VAN2_CYAM1	CYME_CMQ331C				CYME_CMQ331C	Similar to DEAH-box RNA helicase Dhr1		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	chloroplast [GO:0009507]; ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]		ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]	chloroplast [GO:0009507]	GO:0003676; GO:0004386; GO:0005524; GO:0009507; GO:0016787						ATP-binding;Helicase;Hydrolase;Nucleotide-binding;Reference proteome			Compositional bias (4); Domain (2); Region (3)	cme:CYME_CMQ331C;
CMQ332C	M1V6H7	M1V6H7_CYAM1	CYME_CMQ332C				CYME_CMQ332C	Cytochrome b5 heme-binding domain-containing protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (2); Domain (1); Region (2)	cme:CYME_CMQ332C;
CMQ334C	M1UVV6	M1UVV6_CYAM1	CYME_CMQ334C				CYME_CMQ334C	Uncharacterized protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Region (1)	cme:CYME_CMQ334C;
CMQ336C	M1VGD5	M1VGD5_CYAM1	CYME_CMQ336C				CYME_CMQ336C	Leucyl-tRNA synthetase (EC 6.1.1.4)		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	chloroplast [GO:0009507]; cytosol [GO:0005829]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; leucine-tRNA ligase activity [GO:0004823]; leucyl-tRNA aminoacylation [GO:0006429]	leucyl-tRNA aminoacylation [GO:0006429]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; leucine-tRNA ligase activity [GO:0004823]	chloroplast [GO:0009507]; cytosol [GO:0005829]	GO:0002161; GO:0004823; GO:0005524; GO:0005829; GO:0006429; GO:0009507						ATP-binding;Aminoacyl-tRNA synthetase;Ligase;Nucleotide-binding;Protein biosynthesis;Reference proteome			Compositional bias (1); Domain (4); Region (1)	cme:CYME_CMQ336C;
CMQ337C	M1VKU6	M1VKU6_CYAM1	CYME_CMQ337C				CYME_CMQ337C	2-isopropylmalate synthase (EC 2.3.3.13)		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	chloroplast [GO:0009507]; 2-isopropylmalate synthase activity [GO:0003852]; branched-chain amino acid biosynthetic process [GO:0009082]; leucine biosynthetic process [GO:0009098]	branched-chain amino acid biosynthetic process [GO:0009082]; leucine biosynthetic process [GO:0009098]	2-isopropylmalate synthase activity [GO:0003852]	chloroplast [GO:0009507]	GO:0003852; GO:0009082; GO:0009098; GO:0009507						Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Chloroplast;Leucine biosynthesis;Plastid;Reference proteome;Transferase			Domain (1)	cme:CYME_CMQ337C;
CMQ338C	M1VAN5	M1VAN5_CYAM1	CYME_CMQ338C				CYME_CMQ338C	Similar to ATP-dependent RNA helicase deaD		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	helicase activity [GO:0004386]		helicase activity [GO:0004386]		GO:0004386						ATP-binding;Helicase;Hydrolase;Nucleotide-binding;Reference proteome			Domain (1)	cme:CYME_CMQ338C;
CMQ342C	M1V6H9	M1V6H9_CYAM1	CYME_CMQ342C				CYME_CMQ342C	Similar to chloroplast inner membrane protein Tic110		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						3D-structure;Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix			Coiled coil (2); Region (1); Transmembrane (1)	cme:CYME_CMQ342C;
CMQ343C	M1UVV9	M1UVV9_CYAM1	CYME_CMQ343C				CYME_CMQ343C	FA_FANCE domain-containing protein		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Domain (1); Region (1)	cme:CYME_CMQ343C;
CMQ345C	M1VGD9	M1VGD9_CYAM1	CYME_CMQ345C				CYME_CMQ345C	GTP-binding protein of Nug1 family		UP000007014: Chromosome 17	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	GTP binding [GO:0005525]; GTPase activity [GO:0003924]		GTPase activity [GO:0003924]; GTP binding [GO:0005525]		GO:0003924; GO:0005525						Coiled coil;Nucleotide-binding;Reference proteome			Coiled coil (1); Compositional bias (2); Domain (1); Region (2)	cme:CYME_CMQ345C;
